press,temp,v_f,v_g,u_f,u_g,h_f,h_fg,h_g,s_f,s_g,press2
0.05,-93.28,1.57,6.752,-114.6,326.0,-114.6,474.4,359.8,-0.556,2.081,0.05
0.1,-83.87,1.594,3.542,-95.1,335.4,-95.1,465.9,370.8,-0.45,2.011,0.1
0.25,-69.55,1.634,1.513,-64.9,350.0,-64.9,452.7,387.8,-0.297,1.927,0.25
0.5,-56.93,1.672,0.7962,-37.7,363.1,-37.6,440.5,402.9,-0.167,1.871,0.5
0.75,-48.68,1.698,0.5467,-19.6,371.8,-19.5,432.3,412.8,-0.085,1.841,0.75
1.0,-42.38,1.719,0.4185,-5.6,378.5,-5.4,425.7,420.3,-0.023,1.822,1.0
2.0,-25.43,1.781,0.2192,33.1,396.6,33.5,406.9,440.4,0.139,1.782,2.0
3.0,-14.16,1.826,0.1496,59.8,408.7,60.3,393.3,453.6,0.244,1.762,3.0
4.0,-5.46,1.865,0.1137,80.8,418.0,81.5,382.0,463.5,0.324,1.751,4.0
5.0,1.74,1.899,0.09172,98.6,425.7,99.5,372.1,471.6,0.389,1.743,5.0
6.0,7.93,1.931,0.0768,114.2,432.2,115.3,363.0,478.3,0.446,1.737,6.0
7.0,13.41,1.96,0.06598,128.2,438.0,129.6,354.6,484.2,0.495,1.733,7.0
8.0,18.33,1.989,0.05776,141.0,443.1,142.6,346.7,489.3,0.54,1.729,8.0
9.0,22.82,2.016,0.05129,152.9,447.6,154.7,339.1,493.8,0.58,1.726,9.0
10.0,26.95,2.043,0.04606,164.0,451.8,166.1,331.8,497.9,0.618,1.723,10.0
11.0,30.8,2.07,0.04174,174.5,455.6,176.8,324.7,501.5,0.652,1.721,11.0
12.0,34.39,2.096,0.0381,184.4,459.1,187.0,317.8,504.8,0.685,1.718,12.0
13.0,37.77,2.122,0.03499,193.9,462.2,196.7,311.0,507.7,0.716,1.716,13.0
14.0,40.97,2.148,0.03231,203.0,465.2,206.0,304.4,510.4,0.745,1.714,14.0
15.0,44.01,2.174,0.02997,211.7,467.9,215.0,297.9,512.9,0.772,1.712,15.0
16.0,46.89,2.2,0.0279,220.1,470.4,223.6,291.4,515.0,0.799,1.71,16.0
17.0,49.65,2.227,0.02606,228.3,472.7,232.0,285.0,517.0,0.824,1.707,17.0
18.0,52.3,2.253,0.02441,236.2,474.9,240.2,278.6,518.8,0.849,1.705,18.0
19.0,54.83,2.28,0.02292,243.8,476.9,248.2,272.2,520.4,0.873,1.703,19.0
20.0,57.27,2.308,0.02157,251.3,478.7,255.9,265.9,521.8,0.896,1.7,20.0
22.0,61.9,2.364,0.01921,265.8,481.7,271.0,253.0,524.0,0.939,1.695,22.0
24.0,66.21,2.424,0.01721,279.7,484.3,285.5,240.1,525.6,0.981,1.688,24.0
26.0,70.27,2.487,0.01549,293.1,486.2,299.6,226.9,526.5,1.021,1.681,26.0
28.0,74.1,2.555,0.01398,306.2,487.5,313.4,213.2,526.6,1.06,1.673,28.0
30.0,77.72,2.63,0.01263,319.2,488.1,327.1,198.9,526.0,1.097,1.664,30.0
35.0,86.01,2.862,0.009771,351.4,486.3,361.4,159.1,520.5,1.19,1.633,35.0
40.0,93.38,3.279,0.007151,387.9,474.7,401.0,102.3,503.3,1.295,1.574,40.0
42.48,96.7,4.535,0.004535,434.9,434.9,454.2,0.0,454.2,1.437,1.437,42.48
