temp,press,v_f,v_g,u_f,u_g,h_f,h_fg,h_g,s_f,s_g,temp2
0.01,0.00611,1.0002,206.136,0.0,2375.3,0.01,2501.3,2501.4,0.0,9.1562,0.01
4.0,0.00813,1.0001,157.232,16.77,2380.9,16.78,2491.9,2508.7,0.061,9.0514,4.0
5.0,0.00872,1.0001,147.12,20.97,2382.3,20.98,2489.6,2510.6,0.0761,9.0257,5.0
6.0,0.00935,1.0001,137.734,25.19,2383.6,25.2,2487.2,2512.4,0.0912,9.0003,6.0
8.0,0.01072,1.0002,120.917,33.59,2386.4,33.6,2482.5,2516.1,0.1212,8.9501,8.0
10.0,0.01228,1.0004,106.379,42.0,2389.2,42.01,2477.7,2519.8,0.151,8.9008,10.0
11.0,0.01312,1.0004,99.857,46.2,2390.5,46.2,2475.4,2521.6,0.1658,8.8765,11.0
12.0,0.01402,1.0005,93.784,50.41,2391.9,50.41,2473.0,2523.4,0.1806,8.8524,12.0
13.0,0.01497,1.0007,88.124,54.6,2393.3,54.6,2470.7,2525.3,0.1953,8.8285,13.0
14.0,0.01598,1.0008,82.848,58.79,2394.7,58.8,2468.3,2527.1,0.2099,8.8048,14.0
15.0,0.01705,1.0009,77.926,62.99,2396.1,62.99,2465.9,2528.9,0.2245,8.7814,15.0
16.0,0.01818,1.0011,73.333,67.18,2397.4,67.19,2463.6,2530.8,0.239,8.7582,16.0
17.0,0.01938,1.0012,69.044,71.38,2398.8,71.38,2461.2,2532.6,0.2535,8.7351,17.0
18.0,0.02064,1.0014,65.038,75.57,2400.2,75.58,2458.8,2534.4,0.2679,8.7123,18.0
19.0,0.02198,1.0016,61.293,79.76,2401.6,79.77,2456.5,2536.2,0.2823,8.6897,19.0
20.0,0.02339,1.0018,57.791,83.95,2402.9,83.96,2454.1,2538.1,0.2966,8.6672,20.0
21.0,0.02487,1.002,54.514,88.14,2404.3,88.14,2451.8,2539.9,0.3109,8.645,21.0
22.0,0.02645,1.0022,51.447,92.32,2405.7,92.33,2449.4,2541.7,0.3251,8.6229,22.0
23.0,0.0281,1.0024,48.574,96.51,2407.0,96.52,2447.0,2543.5,0.3393,8.6011,23.0
24.0,0.02985,1.0027,45.883,100.7,2408.4,100.7,2444.7,2545.4,0.3534,8.5794,24.0
25.0,0.03169,1.0029,43.36,104.88,2409.8,104.89,2442.3,2547.2,0.3674,8.558,25.0
26.0,0.03363,1.0032,40.994,109.06,2411.1,109.07,2439.9,2549.0,0.3814,8.5367,26.0
27.0,0.03567,1.0035,38.774,113.25,2412.5,113.25,2437.6,2550.8,0.3954,8.5156,27.0
28.0,0.03782,1.0037,36.69,117.42,2413.9,117.43,2435.2,2552.6,0.4093,8.4946,28.0
29.0,0.04008,1.004,34.733,121.6,2415.2,121.61,2432.8,2554.5,0.4231,8.4739,29.0
30.0,0.04246,1.0043,32.894,125.78,2416.6,125.79,2430.5,2556.3,0.4369,8.4533,30.0
31.0,0.04496,1.0046,31.165,129.96,2418.0,129.97,2428.1,2558.1,0.4507,8.4329,31.0
32.0,0.04759,1.005,29.54,134.14,2419.3,134.15,2425.7,2559.9,0.4644,8.4127,32.0
33.0,0.05034,1.0053,28.011,138.32,2420.7,138.33,2423.4,2561.7,0.4781,8.3927,33.0
34.0,0.05324,1.0056,26.571,142.5,2422.0,142.5,2421.0,2563.5,0.4917,8.3728,34.0
35.0,0.05628,1.006,25.216,146.67,2423.4,146.68,2418.6,2565.3,0.5053,8.3531,35.0
