press,temp,v_f,v_g,u_f,u_g,h_f,h_fg,h_g,s_f,s_g,press2
0.4,-50.36,1.4236,2.6795,-45.52,1264.54,-45.46,1417.18,1371.72,-0.1992,6.1618,0.4
0.5,-46.53,1.433,2.1752,-28.73,1269.31,-28.66,1406.73,1378.07,-0.1245,6.0829,0.5
0.6,-43.28,1.441,1.8345,-14.51,1273.27,-14.42,1397.76,1383.34,-0.0622,6.0186,0.6
0.7,-40.46,1.4482,1.5884,-2.11,1276.66,-2.01,1389.85,1387.84,-0.0086,5.9643,0.7
0.8,-37.94,1.4546,1.402,8.93,1279.61,9.04,1382.73,1391.78,0.0386,5.9174,0.8
0.9,-35.67,1.4605,1.2559,18.91,1282.24,19.04,1376.23,1395.27,0.0808,5.876,0.9
1.0,-33.6,1.466,1.1381,28.03,1284.61,28.18,1370.23,1398.41,0.1191,5.8391,1.0
1.25,-29.07,1.4782,0.9237,48.03,1289.65,48.22,1356.89,1405.11,0.2018,5.761,1.25
1.5,-25.22,1.4889,0.7787,65.1,1293.8,65.32,1345.28,1410.61,0.2712,5.6973,1.5
1.75,-21.86,1.4984,0.674,80.08,1297.33,80.35,1334.92,1415.27,0.3312,5.6435,1.75
2.0,-18.86,1.5071,0.5946,93.5,1300.39,93.8,1325.51,1419.31,0.3843,5.5969,2.0
2.25,-16.15,1.5151,0.5323,105.68,1303.08,106.03,1316.83,1422.86,0.4319,5.5558,2.25
2.5,-13.67,1.5225,0.4821,116.88,1305.49,117.26,1308.76,1426.03,0.4753,5.519,2.5
2.75,-11.37,1.5295,0.4408,127.26,1307.67,127.68,1301.2,1428.88,0.5152,5.4858,2.75
3.0,-9.24,1.5361,0.4061,136.96,1309.65,137.42,1294.05,1431.47,0.552,5.4554,3.0
3.25,-7.24,1.5424,0.3765,146.06,1311.46,146.57,1287.27,1433.84,0.5864,5.4275,3.25
3.5,-5.36,1.5484,0.3511,154.66,1313.14,155.2,1280.81,1436.01,0.6186,5.4016,3.5
3.75,-3.58,1.5542,0.3289,162.8,1314.68,163.38,1274.64,1438.03,0.6489,5.3774,3.75
4.0,-1.9,1.5597,0.3094,170.55,1316.12,171.18,1268.71,1439.89,0.6776,5.3548,4.0
4.25,-0.29,1.565,0.2921,177.96,1317.47,178.62,1263.01,1441.63,0.7048,5.3336,4.25
4.5,1.25,1.5702,0.2767,185.04,1318.73,185.75,1257.5,1443.25,0.7308,5.3135,4.5
4.75,2.72,1.5752,0.2629,191.84,1319.91,192.59,1252.18,1444.77,0.7555,5.2946,4.75
5.0,4.13,1.58,0.2503,198.39,1321.02,199.18,1247.02,1446.19,0.7791,5.2765,5.0
5.25,5.48,1.5847,0.239,204.69,1322.07,205.52,1242.01,1447.53,0.8018,5.2594,5.25
5.5,6.79,1.5893,0.2286,210.78,1323.06,211.65,1237.15,1448.8,0.8236,5.243,5.5
5.75,8.05,1.5938,0.2191,216.66,1324.0,217.58,1232.41,1449.99,0.8446,5.2273,5.75
6.0,9.27,1.5982,0.2104,222.37,1324.89,223.32,1227.79,1451.12,0.8649,5.2122,6.0
7.0,13.79,1.6148,0.1815,243.56,1328.04,244.69,1210.38,1455.07,0.9394,5.1576,7.0
8.0,17.84,1.6302,0.1596,262.64,1330.64,263.95,1194.36,1458.3,1.0054,5.1099,8.0
9.0,21.52,1.6446,0.1424,280.05,1332.82,281.53,1179.44,1460.97,1.0649,5.0675,9.0
10.0,24.89,1.6584,0.1285,296.1,1334.66,297.76,1165.42,1463.18,1.1191,5.0294,10.0
12.0,30.94,1.6841,0.1075,324.99,1337.52,327.01,1139.52,1466.53,1.2152,4.9625,12.0
14.0,36.26,1.708,0.0923,350.58,1339.56,352.97,1115.82,1468.79,1.2987,4.905,14.0
16.0,41.03,1.7306,0.0808,373.69,1340.97,376.46,1093.77,1470.23,1.3729,4.8542,16.0
18.0,45.38,1.7522,0.0717,394.85,1341.88,398.0,1073.01,1471.01,1.4399,4.8086,18.0
20.0,49.37,1.7731,0.0644,414.44,1342.37,417.99,1053.27,1471.26,1.5012,4.767,20.0
