temp,press,v_f,v_g,u_f,u_g,h_f,h_fg,h_g,s_f,s_g,temp2
-100.0,0.02888,1.553,11.27,-128.4,319.5,-128.4,480.4,352.0,-0.634,2.14,-100.0
-90.0,0.06426,1.578,5.345,-107.8,329.3,-107.8,471.4,363.6,-0.519,2.055,-90.0
-80.0,0.1301,1.605,2.774,-87.0,339.3,-87.0,462.4,375.4,-0.408,1.986,-80.0
-70.0,0.2434,1.633,1.551,-65.8,349.5,-65.8,453.1,387.3,-0.301,1.929,-70.0
-60.0,0.4261,1.663,0.9234,-44.4,359.9,-44.3,443.5,399.2,-0.198,1.883,-60.0
-50.0,0.7046,1.694,0.5793,-22.5,370.4,-22.4,433.6,411.2,-0.098,1.845,-50.0
-40.0,1.11,1.728,0.3798,-0.2,381.0,0.0,423.2,423.2,0.0,1.815,-40.0
-30.0,1.677,1.763,0.2585,22.6,391.6,22.9,412.1,435.0,0.096,1.791,-30.0
-20.0,2.444,1.802,0.1815,45.9,402.4,46.3,400.5,446.8,0.19,1.772,-20.0
-10.0,3.451,1.844,0.1309,69.8,413.2,70.4,388.0,458.4,0.282,1.757,-10.0
0.0,4.743,1.89,0.09653,94.2,423.8,95.1,374.5,469.6,0.374,1.745,0.0
4.0,5.349,1.91,0.08591,104.2,428.1,105.3,368.8,474.1,0.41,1.741,4.0
8.0,6.011,1.931,0.07666,114.3,432.3,115.5,362.9,478.4,0.446,1.737,8.0
12.0,6.732,1.952,0.06858,124.6,436.5,125.9,356.8,482.7,0.482,1.734,12.0
16.0,7.515,1.975,0.06149,135.0,440.7,136.4,350.5,486.9,0.519,1.731,16.0
20.0,8.362,1.999,0.05525,145.4,444.8,147.1,343.9,491.0,0.555,1.728,20.0
24.0,9.278,2.024,0.04973,156.1,448.9,158.0,337.0,495.0,0.591,1.725,24.0
28.0,10.27,2.05,0.04483,166.9,452.9,169.0,329.9,498.9,0.627,1.722,28.0
32.0,11.33,2.078,0.04048,177.8,456.7,180.2,322.4,502.6,0.663,1.72,32.0
36.0,12.47,2.108,0.03659,188.9,460.6,191.6,314.6,506.2,0.699,1.717,36.0
40.0,13.69,2.14,0.0331,200.2,464.3,203.1,306.5,509.6,0.736,1.715,40.0
44.0,15.0,2.174,0.02997,211.7,467.9,214.9,298.0,512.9,0.772,1.712,44.0
48.0,16.4,2.211,0.02714,223.4,471.4,227.0,288.9,515.9,0.809,1.709,48.0
52.0,17.89,2.25,0.02459,235.3,474.6,239.3,279.3,518.6,0.846,1.705,52.0
56.0,19.47,2.293,0.02227,247.4,477.7,251.9,269.2,521.1,0.884,1.701,56.0
60.0,21.16,2.34,0.02015,259.8,480.6,264.8,258.4,523.2,0.921,1.697,60.0
65.0,23.42,2.406,0.01776,275.7,483.6,281.4,243.8,525.2,0.969,1.69,65.0
70.0,25.86,2.483,0.0156,292.3,486.1,298.7,227.7,526.4,1.018,1.682,70.0
75.0,28.49,2.573,0.01363,309.5,487.8,316.8,209.8,526.6,1.069,1.671,75.0
80.0,31.31,2.683,0.01182,327.6,488.2,336.0,189.2,525.2,1.122,1.657,80.0
85.0,34.36,2.827,0.01011,347.2,486.9,356.9,164.7,521.6,1.178,1.638,85.0
90.0,37.64,3.038,0.008415,369.4,482.2,380.8,133.1,513.9,1.242,1.608,90.0
95.0,41.19,3.488,0.006395,399.8,467.4,414.2,79.5,493.7,1.33,1.546,95.0
96.7,42.48,4.535,0.004535,434.9,434.9,454.2,0.0,454.2,1.437,1.437,96.7
