press,temp,v_f,v_g,u_f,u_g,h_f,h_fg,h_g,s_f,s_g,press2
0.4,-58.86,0.6847,0.5056,-20.36,204.13,-20.34,244.69,224.36,-0.0907,1.0512,0.4
0.5,-54.83,0.6901,0.4107,-16.07,205.76,-16.03,242.33,226.3,-0.0709,1.0391,0.5
0.6,-51.4,0.6947,0.3466,-12.39,207.14,-12.35,240.28,227.93,-0.0542,1.0294,0.6
0.7,-48.4,0.6989,0.3002,-9.17,208.34,-9.12,238.47,229.35,-0.0397,1.0213,0.7
0.8,-45.73,0.7026,0.265,-6.28,209.41,-6.23,236.84,230.61,-0.027,1.0144,0.8
0.9,-43.3,0.7061,0.2374,-3.66,210.37,-3.6,235.34,231.74,-0.0155,1.0084,0.9
1.0,-41.09,0.7093,0.2152,-1.26,211.25,-1.19,233.95,232.77,-0.0051,1.0031,1.0
1.25,-36.23,0.7166,0.1746,4.04,213.16,4.13,230.86,234.99,0.0175,0.9919,1.25
1.5,-32.08,0.723,0.1472,8.6,214.77,8.7,228.15,236.86,0.0366,0.983,1.5
1.75,-28.44,0.7287,0.1274,12.61,216.18,12.74,225.73,238.47,0.0531,0.9755,1.75
2.0,-25.18,0.734,0.1123,16.22,217.42,16.37,223.52,239.88,0.0678,0.9691,2.0
2.25,-22.22,0.7389,0.1005,19.51,218.53,19.67,221.47,241.15,0.0809,0.9636,2.25
2.5,-19.51,0.7436,0.091,22.54,219.55,22.72,219.57,242.29,0.093,0.9586,2.5
2.75,-17.0,0.7479,0.0831,25.36,220.48,25.56,217.77,243.33,0.104,0.9542,2.75
3.0,-14.66,0.7521,0.0765,27.99,221.34,28.22,216.07,244.29,0.1143,0.9502,3.0
3.25,-12.46,0.7561,0.0709,30.47,222.13,30.72,214.46,245.18,0.1238,0.9465,3.25
3.5,-10.39,0.7599,0.0661,32.82,222.88,33.09,212.91,246.0,0.1328,0.9431,3.5
3.75,-8.43,0.7636,0.0618,35.06,223.58,35.34,211.42,246.77,0.1413,0.9399,3.75
4.0,-6.56,0.7672,0.0581,37.18,224.24,37.49,209.99,247.48,0.1493,0.937,4.0
4.25,-4.78,0.7706,0.0548,39.22,224.86,39.55,208.61,248.16,0.1569,0.9342,4.25
4.5,-3.08,0.774,0.0519,41.17,225.45,41.52,207.27,248.8,0.1642,0.9316,4.5
4.75,-1.45,0.7773,0.0492,43.05,226.0,43.42,205.98,249.4,0.1711,0.9292,4.75
5.0,0.12,0.7805,0.0469,44.86,226.54,45.25,204.71,249.97,0.1777,0.9269,5.0
5.25,1.63,0.7836,0.0447,46.61,227.04,47.02,203.48,250.51,0.1841,0.9247,5.25
5.5,3.08,0.7867,0.0427,48.3,227.53,48.74,202.28,251.02,0.1903,0.9226,5.5
5.75,4.49,0.7897,0.0409,49.94,227.99,50.4,201.11,251.51,0.1962,0.9206,5.75
6.0,5.85,0.7927,0.0392,51.53,228.44,52.01,199.97,251.98,0.2019,0.9186,6.0
7.0,10.91,0.8041,0.0337,57.48,230.04,58.04,195.6,253.64,0.2231,0.9117,7.0
8.0,15.45,0.8149,0.0295,62.88,231.43,63.53,191.52,255.05,0.2419,0.9056,8.0
9.0,19.59,0.8252,0.0262,67.84,232.64,68.59,187.67,256.25,0.2591,0.9001,9.0
10.0,23.4,0.8352,0.0236,72.46,233.71,73.3,183.99,257.28,0.2748,0.8952,10.0
12.0,30.25,0.8546,0.0195,80.87,235.48,81.9,177.04,258.94,0.3029,0.8864,12.0
14.0,36.29,0.8734,0.0166,88.45,236.89,89.68,170.49,260.16,0.3277,0.8786,14.0
16.0,41.73,0.8919,0.0144,95.41,238.0,96.83,164.21,261.04,0.35,0.8715,16.0
18.0,46.69,0.9104,0.0127,101.87,238.86,103.51,158.13,261.64,0.3705,0.8649,18.0
20.0,51.26,0.9291,0.0112,107.95,239.51,109.81,152.17,261.98,0.3895,0.8586,20.0
24.0,59.46,0.9677,0.0091,119.24,240.22,121.56,140.43,261.99,0.4241,0.8463,24.0
